symbol,window,train_start,test_start,test_end,best_params,train_score,test_trades,test_win_rate,test_expectancy_r,test_profit_factor,test_net_profit,test_max_drawdown,test_sharpe
EURUSD,0,2022-05-12,2023-05-12,2023-08-12,"{""risk.min_r_cost_multiple"": 6}",0.08723342831013482,17,0.6470588235294118,-0.1780977510060281,0.5477762156817068,-3030.320564907219,3278.6938859086804,-2.0129772042190557
EURUSD,1,2022-08-12,2023-08-12,2023-11-12,"{""risk.min_r_cost_multiple"": 6}",0.020925479454244937,9,0.5555555555555556,-0.424935172263508,0.16645672845509793,-3778.335946622319,4504.469330883119,-3.105549242943091
EURUSD,2,2022-11-12,2023-11-12,2024-02-12,"{""risk.min_r_cost_multiple"": 6}",-0.01453476546960485,13,0.7692307692307693,0.023981317387767282,1.084042323231629,284.45106858997315,2520.282857279104,0.2365536038661539
EURUSD,3,2023-02-12,2024-02-12,2024-05-12,"{""risk.min_r_cost_multiple"": 6}",-0.13645003455749596,3,0.6666666666666666,-0.13221618661024756,0.6345673356133414,-403.4060561995575,1759.0988227235357,-0.48501370195290416
EURUSD,4,2023-05-12,2024-05-12,2024-08-12,"{""risk.min_r_cost_multiple"": 6}",-0.16516594645866234,5,0.4,-0.3875352682230377,0.1429230515065925,-1931.8128942594485,1998.030441258452,-2.1569997555127256
EURUSD,5,2023-08-12,2024-08-12,2024-11-12,"{""risk.min_r_cost_multiple"": 6}",-0.1948994775092176,4,0.5,-0.45312768742366777,0.18534751724956325,-1808.9513605097745,2399.8986775315134,-2.0181897811319214
EURUSD,6,2023-11-12,2024-11-12,2025-02-12,"{""risk.min_r_cost_multiple"": 6}",-0.14495589842449474,22,0.7272727272727273,-0.10462499788359404,0.6516784229547551,-2323.3751259867568,5321.4225163736555,-1.4129164859822019
EURUSD,7,2024-02-12,2025-02-12,2025-05-12,"{""risk.min_r_cost_multiple"": 6}",-0.17570551147779134,55,0.7272727272727273,0.02987354446577607,1.076110587142651,1443.4226294628315,6651.324034220772,0.43097799040100643
EURUSD,8,2024-05-12,2025-05-12,2025-08-12,"{""risk.min_r_cost_multiple"": 8}",-0.017687425423147253,21,0.8095238095238095,0.05502395152380991,1.2967818838840246,1125.5163751236687,2233.8360408106237,0.7125446161062436
EURUSD,9,2024-08-12,2025-08-12,2025-11-12,"{""risk.min_r_cost_multiple"": 8}",0.01766283969096964,4,0.5,0.009584125543646092,1.0246530858660787,27.76293193665333,1484.5091374270269,0.05390127388281063
EURUSD,10,2024-11-12,2025-11-12,2026-02-12,"{""risk.min_r_cost_multiple"": 8}",0.05054512475744383,7,0.8571428571428571,0.13742700306771158,1.8567207340670446,954.2987957722216,1214.204306769272,1.0020711719777984
EURUSD,11,2025-02-12,2026-02-12,2026-05-12,"{""risk.min_r_cost_multiple"": 8}",0.07431379492853696,13,0.6923076923076923,0.11014601946392263,1.3103610596456718,1387.2735735082388,2407.361083950367,0.8330151472552368
GBPUSD,0,2022-05-12,2023-05-12,2023-08-12,"{""risk.min_r_cost_multiple"": 8}",-0.043367683583390826,12,0.75,0.08263642005020941,1.4419025066639752,975.3818665773433,2578.8795493995567,0.7843421794075727
GBPUSD,1,2022-08-12,2023-08-12,2023-11-12,"{""risk.min_r_cost_multiple"": 8}",-0.041151964737436424,13,0.6923076923076923,-0.05439208576782569,0.7821082216618139,-727.6164969923702,2532.1229891679977,-0.6099916002512452
GBPUSD,2,2022-11-12,2023-11-12,2024-02-12,"{""risk.min_r_cost_multiple"": 8}",0.04637335349218322,12,0.9166666666666666,0.0959268045556832,2.035482437903143,1146.6626140829903,2095.8522219320294,1.6838527373408165
GBPUSD,3,2023-02-12,2024-02-12,2024-05-12,"{""risk.min_r_cost_multiple"": 8}",-0.057004951404836364,6,0.6666666666666666,-0.06163940772804124,0.8232961879050118,-387.0035067672725,1856.4097011133272,-0.3332444812166829
GBPUSD,4,2023-05-12,2024-05-12,2024-08-12,"{""risk.min_r_cost_multiple"": 8}",0.024786631021412334,3,0.3333333333333333,-0.2584291275849561,0.3196879454516225,-779.1401796199352,2016.654962619432,-1.1779496913494802
GBPUSD,5,2023-08-12,2024-08-12,2024-11-12,"{""risk.min_r_cost_multiple"": 8}",-0.02062056733637211,9,0.5555555555555556,-0.20182029297583398,0.5699092767242828,-1831.7211943699804,4613.0019637188525,-1.1895184843093258
GBPUSD,6,2023-11-12,2024-11-12,2025-02-12,"{""risk.min_r_cost_multiple"": 8}",-0.060346160374580814,7,0.8571428571428571,0.3054939003274096,46.92330992956613,2156.024176204024,1114.31153219947,3.7666909977870136
