symbol,window,train_start,test_start,test_end,best_params,train_score,test_trades,test_win_rate,test_expectancy_r,test_profit_factor,test_net_profit,test_max_drawdown,test_sharpe
EURUSD,0,2022-05-12,2023-05-12,2023-08-12,"{""risk.min_r_cost_multiple"": 8}",0.10434688427603017,3,1.0,0.7815210147865138,inf,2358.0077566440596,985.7819905212382,2.580464221780763
EURUSD,1,2022-08-12,2023-08-12,2023-11-12,"{""risk.min_r_cost_multiple"": 8}",0.16018589438825154,4,0.75,0.05156196497606233,1.178909666988233,196.3555933391326,1332.9862466726627,0.2869809515031688
EURUSD,2,2022-11-12,2023-11-12,2024-02-12,"{""risk.min_r_cost_multiple"": 8}",0.17384866389599873,2,1.0,0.49046791726328653,inf,983.3413941255712,414.79820627806475,1.7492874836455605
EURUSD,3,2023-02-12,2024-02-12,2024-05-12,"{""risk.min_r_cost_multiple"": 8}",0.14955922650156206,3,0.6666666666666666,-0.11305544338264169,0.6852309489657968,-346.6762660221284,1707.1189513987338,-0.4565809579401002
EURUSD,4,2023-05-12,2024-05-12,2024-08-12,"{""risk.min_r_cost_multiple"": 8}",0.26604836738686993,4,0.5,-0.48599831231260315,0.12226315160826458,-1937.524177182815,2067.0578559392306,-2.170414334436269
EURUSD,5,2023-08-12,2024-08-12,2024-11-12,"{""risk.min_r_cost_multiple"": 2}",-0.06133015857991818,29,0.4482758620689655,-0.1421417810358393,0.6671847743007067,-4166.361494310448,7084.024606367369,-1.5534737113603994
EURUSD,6,2023-11-12,2024-11-12,2025-02-12,"{""risk.min_r_cost_multiple"": 8}",-0.0066326384122642095,8,0.5,-0.46301338311330886,0.1455179718932755,-3660.076976674318,3772.2221313332266,-3.109918528502794
EURUSD,7,2024-02-12,2025-02-12,2025-05-12,"{""risk.min_r_cost_multiple"": 2}",-0.16996675006824097,53,0.660377358490566,-0.009906277017855066,0.9652343055017015,-768.9326442481397,9816.936397474172,-0.1205105876550171
EURUSD,8,2024-05-12,2025-05-12,2025-08-12,"{""risk.min_r_cost_multiple"": 8}",0.1360994853284134,9,0.6666666666666666,-0.0016549044372955951,0.9848666544948362,-34.233864509049454,2476.152619901244,-0.018835960553839598
EURUSD,9,2024-08-12,2025-08-12,2025-11-12,"{""risk.min_r_cost_multiple"": 8}",0.1673145273952305,3,0.3333333333333333,-0.33148473148481356,0.11421078921068166,-995.9143559146032,1294.594594594586,-1.5669965370950067
EURUSD,10,2024-11-12,2025-11-12,2026-02-12,"{""risk.min_r_cost_multiple"": 8}",0.11188737043575459,6,0.8333333333333334,0.2003747891230178,2.079402802997662,1195.4133846283366,1107.4766355140891,1.2639772665861393
EURUSD,11,2025-02-12,2026-02-12,2026-05-12,"{""risk.min_r_cost_multiple"": 8}",0.24689080571249372,9,0.7777777777777778,0.06946992358780779,1.275550726270131,603.886530531905,2079.3472792850516,0.5611467308374447
GBPUSD,0,2022-05-12,2023-05-12,2023-08-12,"{""risk.min_r_cost_multiple"": 4}",0.13148143425190265,14,0.6428571428571429,0.03180177685662966,1.0633579483321094,376.29277249037114,3842.286355829521,0.21637398116445214
GBPUSD,1,2022-08-12,2023-08-12,2023-11-12,"{""risk.min_r_cost_multiple"": 2}",0.12494175064736503,43,0.6744186046511628,0.06748398910136315,1.129416812144722,2418.2045902351238,9129.308419876033,0.497589238004113
GBPUSD,2,2022-11-12,2023-11-12,2024-02-12,"{""risk.min_r_cost_multiple"": 2}",0.13430335214229752,47,0.6382978723404256,-0.03839253494425101,0.8896883008229552,-1957.3271005456918,6727.490172278063,-0.48780508401482575
GBPUSD,3,2023-02-12,2024-02-12,2024-05-12,"{""risk.min_r_cost_multiple"": 2}",0.053909926012656775,39,0.717948717948718,0.00990141504595505,1.0177507765404414,241.0331621501682,5299.943134361107,0.13279499124818112
GBPUSD,4,2023-05-12,2024-05-12,2024-08-12,"{""risk.min_r_cost_multiple"": 2}",0.040877254314221866,37,0.5945945945945946,-0.050589716807554634,0.8038858322745338,-1945.442398968371,5180.756492423854,-0.7873425929503125
GBPUSD,5,2023-08-12,2024-08-12,2024-11-12,"{""risk.min_r_cost_multiple"": 6}",0.03820929510135048,15,0.8,0.10828407970805916,1.466796664052581,1601.343022932182,2653.8277077895036,1.0920878456081815
GBPUSD,6,2023-11-12,2024-11-12,2025-02-12,"{""risk.min_r_cost_multiple"": 6}",0.10033357537686766,11,0.8181818181818182,0.11254845484759056,1.5354811733395497,1223.1964217235945,1154.2621927331202,1.1304892365278687
GBPUSD,7,2024-02-12,2025-02-12,2025-05-12,"{""risk.min_r_cost_multiple"": 8}",0.08603836784536989,8,0.625,0.0006313022880384961,0.9947535721206264,-11.339710577041842,1983.4277229493746,0.0055421995464682286
GBPUSD,8,2024-05-12,2025-05-12,2025-08-12,"{""risk.min_r_cost_multiple"": 6}",0.13964893469505238,16,0.75,0.1578300462979254,1.7142820704066786,2516.9924065069645,1486.7089959201257,1.6927108266530022
GBPUSD,9,2024-08-12,2025-08-12,2025-11-12,"{""risk.min_r_cost_multiple"": 8}",0.19819107390454374,6,0.8333333333333334,-0.12142397548352224,0.3473020821812702,-732.3571279823955,1490.3459424975736,-1.1403751432994407
GBPUSD,10,2024-11-12,2025-11-12,2026-02-12,"{""risk.min_r_cost_multiple"": 6}",0.16526823308220492,12,0.6666666666666666,0.06274840304217998,1.3182170311613168,735.283655756808,1323.798529641048,0.666010179206691
GBPUSD,11,2025-02-12,2026-02-12,2026-05-12,"{""risk.min_r_cost_multiple"": 6}",0.14956159520484125,17,0.6470588235294118,0.02312819893270554,1.072836232285935,352.3222477124509,3504.7696018040297,0.23862502794881105
USDJPY,0,2022-05-12,2023-05-12,2023-08-12,"{""risk.min_r_cost_multiple"": 8}",0.08415178951897491,8,0.625,-0.1348666489953953,0.6665799464829604,-1102.759438741341,2803.7455158996163,-0.7763768507005185
USDJPY,1,2022-08-12,2023-08-12,2023-11-12,"{""risk.min_r_cost_multiple"": 6}",0.065499488806454,9,0.6666666666666666,0.06491682977013156,1.2348183305066625,562.052780758444,1440.4881327134935,0.46654268033714286
USDJPY,2,2022-11-12,2023-11-12,2024-02-12,"{""risk.min_r_cost_multiple"": 4}",0.008813547157740607,45,0.6888888888888889,0.08952470937010595,1.2372817385053014,3906.0168187327654,6870.902332844475,1.03871974124104
USDJPY,3,2023-02-12,2024-02-12,2024-05-12,"{""risk.min_r_cost_multiple"": 4}",0.042349814288872974,13,0.7692307692307693,0.2027833668075359,2.975254744703042,2652.8163413380826,1404.394228740959,2.4113623460827713
USDJPY,4,2023-05-12,2024-05-12,2024-08-12,"{""risk.min_r_cost_multiple"": 4}",0.09200898226541662,30,0.6666666666666666,0.019287370458065813,1.0544630138966666,493.12995651565143,4093.314030425041,0.25320210666126175
USDJPY,5,2023-08-12,2024-08-12,2024-11-12,"{""risk.min_r_cost_multiple"": 4}",0.11496629489700258,45,0.7333333333333333,0.24895733919590696,1.8855647565438065,11635.088996378385,3590.3456446138443,3.4201472852894184
USDJPY,6,2023-11-12,2024-11-12,2025-02-12,"{""risk.min_r_cost_multiple"": 4}",0.14260324425409063,45,0.6444444444444445,0.14796715061836171,1.3665335656159514,6635.113783533641,6127.799958727774,1.5670960738302537
USDJPY,7,2024-02-12,2025-02-12,2025-05-12,"{""risk.min_r_cost_multiple"": 4}",0.16222943721059443,46,0.717391304347826,0.06890530776727675,1.2189868558873311,3072.1870048432174,4136.872206266024,1.057669449138281
USDJPY,8,2024-05-12,2025-05-12,2025-08-12,"{""risk.min_r_cost_multiple"": 4}",0.13017992357035418,44,0.6363636363636364,-0.06895779834598192,0.8169827527404502,-3142.2035152393655,5909.7256426769745,-1.0118630958271004
