symbol,direction,entry_time,exit_time,entry_raw,entry_fill,stop_initial,target,r_dist,qty,risk_amount,net_pnl,realized_r,bars_in_trade,commission,spread_cost,slippage_cost,n_legs,exit_reasons
NAS100,bearish,2022-05-12 19:20:00+00:00,2022-05-13 03:30:00+00:00,11857.2,11856.2,12133.5,11739.5,276.2999999999993,3.6192544335866907,1000.0,-1007.2385088671734,-1.0072385088671734,78,0.0,5.428881650380037,1.8096272167933454,1,stop
NAS100,bullish,2022-05-13 11:05:00+00:00,2022-05-13 11:45:00+00:00,12138.7,12139.7,12119.4,12174.2,19.30000000000109,51.291586264832766,989.9276149113284,1350.5074663531084,1.3642487046631975,9,0.0,76.93737939724915,25.64579313241638,3,partial_1|partial_2|target
NAS100,bullish,2022-05-13 19:50:00+00:00,2022-05-15 22:00:00+00:00,12342.2,12343.2,12214.1,12395.1,128.10000000000036,7.833198201208872,1003.4326895748594,418.5199466923895,0.4170882123341135,6,0.0,11.749797301813308,3.916599100604436,1,target
NAS100,bullish,2022-05-17 13:35:00+00:00,2022-05-17 13:35:00+00:00,12480.7,12481.7,12431.5,12505.4,49.20000000000073,20.480038395157894,1007.6178890417833,464.8968715700619,0.4613821138211092,1,0.0,30.720057592736843,10.240019197578947,1,target
NAS100,bearish,2022-05-17 18:45:00+00:00,2022-05-17 18:45:00+00:00,12494.4,12493.4,12501.6,12351.8,7.200000000000728,140.59261913296967,1012.266857757484,-1293.4520960234233,-1.2777777777777497,1,0.0,210.8889286994545,70.29630956648484,1,stop
NAS100,bearish,2022-05-18 07:20:00+00:00,2022-05-18 07:20:00+00:00,12502.6,12501.6,12535.4,12487.1,32.79999999999927,30.467449292599756,999.3323367972498,666.9629324642897,0.6674085365853691,1,0.0,45.701173938899636,15.233724646299878,1,target
NAS100,bullish,2022-05-18 09:30:00+00:00,2022-05-18 10:00:00+00:00,12472.4,12473.4,12453.1,12509.0,19.299999999999272,52.12445420320884,1006.0019661218927,1383.9042590951567,1.3756476683937964,7,0.0,78.18668130481326,26.06222710160442,3,partial_1|partial_2|target
NAS100,bearish,2022-05-19 18:35:00+00:00,2022-05-19 18:45:00+00:00,12004.2,12003.2,12009.4,11792.0,5.199999999998909,196.12327090635736,1019.8410087128442,9103.41464100638,8.926307692309734,3,0.0,294.18490635953606,98.0616354531787,3,partial_1|partial_2|stop
NAS100,bearish,2022-05-20 11:35:00+00:00,2022-05-20 12:45:00+00:00,12051.5,12050.5,12093.4,12027.0,41.899999999999636,26.51253353515317,1110.8751551229082,827.1910462967742,0.7446300715990476,15,0.0,39.76880030272976,13.256266767576586,2,partial_1|target
NAS100,bullish,2022-05-20 13:25:00+00:00,2022-05-20 13:30:00+00:00,12024.3,12025.3,12002.2,12080.9,22.099999999998545,50.64013871429636,1119.147065585876,-1220.4273430144688,-1.0904977375565672,2,0.0,75.96020807144454,25.32006935714818,1,stop
NAS100,bearish,2022-05-23 08:00:00+00:00,2022-05-23 08:05:00+00:00,11988.4,11987.4,12022.0,11949.1,33.600000000000364,32.94472595701546,1106.9427921557312,1134.9458092191765,1.0252976190476026,2,0.0,49.41708893552318,16.47236297850773,2,partial_1|target
NAS100,bearish,2022-05-23 17:30:00+00:00,2022-05-23 20:05:00+00:00,11967.1,11966.1,12052.9,11860.6,85.79999999999927,13.033709210348864,1118.292250247923,-1144.3596686686208,-1.0233100233100236,32,0.0,19.550563815523297,6.516854605174432,1,stop
NAS100,bearish,2022-05-24 12:35:00+00:00,2022-05-24 12:40:00+00:00,11832.8,11831.8,11845.4,11777.8,12.600000000000364,87.84513123501625,1106.8486535612367,-1282.5389160312693,-1.1587301587301542,2,0.0,131.76769685252438,43.92256561750813,1,stop
NAS100,bullish,2022-05-25 18:05:00+00:00,2022-05-25 18:05:00+00:00,11807.8,11808.8,11780.3,11896.6,27.5,39.782664160033605,1094.023264400924,-1173.5885927209913,-1.0727272727272728,1,0.0,59.67399624005041,19.891332080016802,1,stop
NAS100,bearish,2022-05-26 03:55:00+00:00,2022-05-26 04:50:00+00:00,11903.3,11902.3,11987.9,11881.6,84.60000000000036,12.792995017419734,1082.2873784737142,252.0220018431548,0.23286052009454875,12,0.0,19.1894925261296,6.396497508709867,1,target
NAS100,bearish,2022-05-26 19:45:00+00:00,2022-05-27 01:20:00+00:00,12300.2,12299.2,12341.3,12210.3,41.099999999998545,26.39434546209694,1084.8075984921459,1357.4611871155957,1.2513381995133803,47,0.0,39.59151819314541,13.197172731048472,3,partial_1|partial_2|stop
NAS100,bearish,2022-05-27 18:15:00+00:00,2022-05-27 18:35:00+00:00,12593.6,12592.6,12610.4,12505.1,16.799999999999272,65.37989347400888,1098.3822103633017,-1229.1419973113193,-1.119047619047624,5,0.0,98.06984021101331,32.68994673700444,1,stop
NAS100,bullish,2022-05-30 10:20:00+00:00,2022-05-30 10:25:00+00:00,12847.7,12848.7,12826.6,12864.4,21.100000000000364,51.47349717488956,1086.0907903901884,-1189.0377847399675,-1.0947867298578182,2,0.0,77.21024576233434,25.73674858744478,1,stop
NAS100,bullish,2022-05-30 16:00:00+00:00,2022-05-30 16:25:00+00:00,12783.2,12784.2,12733.3,12818.1,49.900000000001455,21.527062375606363,1074.2004125427889,708.2403521574415,0.6593186372745226,6,0.0,32.290593563409544,10.763531187803181,1,target
NAS100,bearish,2022-06-05 22:00:00+00:00,2022-06-06 06:30:00+00:00,12573.8,12572.8,12646.9,12523.9,73.10000000000036,14.791830589115703,1081.2828160643633,-1110.8664772425948,-1.027359781121751,103,0.0,22.187745883673553,7.3959152945578515,1,stop
NAS100,bullish,2022-06-06 11:10:00+00:00,2022-06-06 11:45:00+00:00,12718.2,12719.2,12700.2,12747.7,18.0,59.45411951621874,1070.1741512919373,416.1788366135312,0.3888888888888889,8,0.0,89.18117927432812,29.72705975810937,2,partial_1|stop
NAS100,bullish,2022-06-06 15:10:00+00:00,2022-06-06 15:10:00+00:00,12710.4,12711.4,12702.0,12742.0,8.399999999999636,127.89713567358562,1074.3359396580727,-1330.130211005244,-1.2380952380952486,1,0.0,191.84570351037843,63.94856783679281,1,stop
NAS100,bearish,2022-06-06 19:30:00+00:00,2022-06-06 19:35:00+00:00,12576.3,12575.3,12681.2,12552.2,104.90000000000146,10.114724857464303,1061.03463754802,223.53541934994638,0.21067683508101276,2,0.0,15.172087286196454,5.0573624287321515,1,target
NAS100,bullish,2022-06-06 22:30:00+00:00,2022-06-07 01:25:00+00:00,12582.5,12583.5,12535.0,12678.5,47.5,22.384631405084622,1063.2699917415196,-1108.0392545516888,-1.0421052631578949,36,0.0,33.576947107626935,11.192315702542311,1,stop
NAS100,bullish,2022-06-08 01:25:00+00:00,2022-06-08 01:30:00+00:00,12684.4,12685.4,12657.0,12697.3,27.399999999999636,38.40108026262835,1052.1895991960027,418.57177486263504,0.3978102189780942,2,0.0,57.601620393942525,19.200540131314174,1,target
NAS100,bullish,2022-06-08 10:05:00+00:00,2022-06-08 10:50:00+00:00,12653.9,12654.9,12618.2,12679.7,35.69999999999891,29.5903450124555,1056.375316944629,850.7224191080957,0.8053221288515653,10,0.0,44.38551751868325,14.79517250622775,2,partial_1|target
NAS100,bearish,2022-06-08 13:30:00+00:00,2022-06-08 13:30:00+00:00,12679.7,12678.7,12718.2,12645.9,38.5,27.659286782745713,1064.88254113571,944.5646436307812,0.8870129870130012,1,0.0,41.48893017411857,13.829643391372857,2,partial_1|target
NAS100,bullish,2022-06-09 11:25:00+00:00,2022-06-09 11:25:00+00:00,12677.3,12678.3,12644.8,12679.3,32.5,33.056251925292855,1074.328187572018,525.4952368564084,0.48913846153848745,1,0.0,49.58437788793928,16.528125962646428,1,target
NAS100,bullish,2022-06-10 09:45:00+00:00,2022-06-10 12:30:00+00:00,12309.7,12310.7,12254.8,12331.6,54.900000000001455,19.66453806813394,1079.583139940582,-1118.9122160768497,-1.0364298724954453,34,0.0,29.49680710220091,9.83226903406697,1,stop
NAS100,bearish,2022-06-13 12:10:00+00:00,2022-06-13 12:15:00+00:00,11520.8,11519.8,11533.5,11456.9,12.700000000000728,84.12551321100412,1068.3940177798136,1860.6039756877021,1.7414960629919551,2,0.0,126.18826981650616,42.06275660550206,3,partial_1|partial_2|stop
NAS100,bullish,2022-06-13 16:55:00+00:00,2022-06-13 19:15:00+00:00,11425.3,11426.3,11310.8,11522.7,114.5,9.493450284163236,1087.0000575366905,-1105.986958105017,-1.017467248908297,29,0.0,14.240175426244853,4.746725142081618,1,stop
NAS100,bullish,2022-06-14 11:00:00+00:00,2022-06-14 11:00:00+00:00,11373.2,11374.2,11365.5,11454.8,7.700000000000728,139.73249194227776,1075.9401879556403,-1355.4051718401959,-1.2597402597402352,1,0.0,209.59873791341664,69.86624597113888,1,stop
NAS100,bearish,2022-06-14 19:35:00+00:00,2022-06-15 08:40:00+00:00,11323.8,11322.8,11426.1,11276.1,102.30000000000109,10.385006219327732,1062.3861362372384,-1083.1561486758937,-1.019550342130987,137,0.0,15.577509328991598,5.192503109663866,1,stop
NAS100,bearish,2022-06-15 15:45:00+00:00,2022-06-15 15:55:00+00:00,11497.9,11496.9,11519.4,11399.0,21.5,48.90951510467347,1051.5545747504796,427.95825716589286,0.4069767441860465,3,0.0,73.3642726570102,24.454757552336734,2,partial_1|stop
NAS100,bearish,2022-06-15 18:20:00+00:00,2022-06-15 18:20:00+00:00,11524.7,11523.7,11540.3,11448.2,15.599999999998545,67.68167675142544,1055.8341573221385,2496.540169491441,2.3645192307694383,1,0.0,101.52251512713816,33.84083837571272,3,partial_1|partial_2|target
NAS100,bullish,2022-06-16 03:30:00+00:00,2022-06-16 04:00:00+00:00,11678.1,11679.1,11637.2,11737.4,40.899999999999636,26.425417090881727,1080.799559017053,-1133.6503931988163,-1.0488997555012227,7,0.0,39.63812563632259,13.212708545440863,1,stop
NAS100,bullish,2022-06-16 13:30:00+00:00,2022-06-16 13:35:00+00:00,11266.6,11267.6,11230.5,11362.9,36.100000000000364,29.625015376317286,1069.4630550850648,246.61344050014486,0.23059556786702587,2,0.0,44.437523064475926,14.812507688158643,2,partial_1|stop
NAS100,bearish,2022-06-16 23:45:00+00:00,2022-06-17 00:15:00+00:00,11159.9,11158.9,11192.3,11112.9,32.399999999999636,33.08423424352094,1071.9291894900664,-1138.0976579771082,-1.061728395061729,7,0.0,49.62635136528141,16.54211712176047,1,stop
NAS100,bearish,2022-06-17 09:50:00+00:00,2022-06-17 09:55:00+00:00,11251.9,11250.9,11271.1,11164.8,19.200000000000728,55.23688608907578,1060.5482129102952,576.1483403520764,0.5432552083332858,2,0.0,82.85532913361368,27.61844304453789,2,partial_1|stop
NAS100,bearish,2022-06-17 13:35:00+00:00,2022-06-17 13:35:00+00:00,11257.1,11256.1,11288.9,11233.3,31.799999999999272,33.53175145641008,1066.3096963138162,865.1191875753861,0.8113207547170054,1,0.0,50.297627184615116,16.76587572820504,2,partial_1|target
NAS100,bearish,2022-06-21 09:25:00+00:00,2022-06-21 10:30:00+00:00,11490.9,11489.9,11509.2,11410.4,18.30000000000109,58.74103214150305,1074.96088818957,1279.9670903634349,1.1907103825136678,14,0.0,88.11154821225459,29.370516070751524,3,partial_1|partial_2|stop
NAS100,bearish,2022-06-22 12:50:00+00:00,2022-06-22 12:50:00+00:00,11354.4,11353.4,11391.2,11335.2,36.80000000000109,29.558710844923155,1087.7605590932044,508.409826532646,0.46739130434778253,1,0.0,44.33806626738473,14.779355422461578,1,target
